"x"
"Cytisus scoparius (L.) Link subs"
"Dianthus seguieri Vill. subsp. s"
"Teucrium scorodonia L."
"Capsella bursa-pastoris (L.) Med"
"Clinopodium vulgare L. subsp. vu"
"Pteridium aquilinum (L.) Kuhn su"
"Odontites vernus (Bellardi) Dumo"
"Prunus spinosa L. subsp. spinosa"
"Arenaria serpyllifolia L. subsp."
"Catapodium rigidum (L.) C.E.Hubb"
"Cynosurus echinatus L."
"Origanum vulgare L. subsp. vulga"
"Teucrium chamaedrys L. subsp. ch"
"Agrimonia eupatoria L. subsp. eu"
"Medicago sativa L."
"Poterium sanguisorba L."
"Galium verum L. s.l."
"Cornus sanguinea L. subsp. hunga"
"Cichorium intybus L."
"Erigeron annuus (L.) Desf. subsp"
"Centaurea nigrescens Willd."
"Pulicaria dysenterica (L.) Bernh"
"Ononis spinosa L. s.l."
"Arctium minus (Hill) Bernh."
"Carex remota L."
"Circaea lutetiana L. subsp. lute"
"Acer campestre L."
"Torilis nodosa (L.) Gaertn."
"Torilis japonica (Houtt.) DC."
"Torilis purpurea (Ten.) Guss."
"Torilis arvensis (Huds.) Link"
"Tordylium maximum L."
"Tordylium apulum L."
"Tommasinia verticillaris (L.) Be"
"Sison amomum L."
"Scandix pecten-veneris L. s.l."
"Sanicula europaea L."
"Pimpinella peregrina L."
"Physospermum cornubiense (L.) DC"
"Pastinaca sativa L. subsp. sativ"
"Orlaya daucoides (L.) Greuter"
"Oreoselinum nigrum Delarbre"
"Lipandra polysperma (L.) S.Fuent"
"Sisymbrium officinale (L.) Scop."
"Lolium perenne L."
"Linaria vulgaris Mill. subsp. vu"
"Convolvulus arvensis L."
"Echium vulgare L. subsp. vulgare"
"Chaenorhinum minus (L.) Lange su"
"Oenanthe pimpinelloides L."
"Eryngium campestre L."
"Cervaria rivinii Gaertn."
"Bupleurum lancifolium Hornem."
"Bupleurum baldense Turra"
"Bunium bulbocastanum L."
"Angelica sylvestris L."
"Ammi majus L."
"Viburnum tinus L."
"Valerianella locusta (L.) Laterr"
"Valerianella coronata (L.) DC."
"Valerianella carinata Loisel."
"Succisa pratensis Moench"
"Sixalix atropurpurea (L.) Greute"
"Scabiosa uniseta Savi"
"Sambucus ebulus L."
"Lonicera xylosteum L."
"Lonicera japonica Thunb."
"Lonicera etrusca Santi"
"Lonicera caprifolium L."
"Knautia integrifolia (L.) Bertol"
"Knautia arvensis (L.) Coult."
"Dipsacus fullonum L."
"Cephalaria transsylvanica (L.) R"
"Centranthus ruber (L.) DC."
"Centranthus calcitrapae (L.) Duf"
"Xanthium strumarium L."
"Xanthium orientale L. subsp. ita"
"Urospermum picroides (L.) Scop."
"Urospermum dalechampii (L.) F.W."
"Tragopogon porrifolius L. subsp."
"Tolpis virgata (Desf.) Bertol."
"Tolpis umbellata Bertol."
"Taraxacum sect. Taraxacum"
"Taraxacum sect. Palustria (H.Lin"
"Taraxacum sect. Erytrosperma (H."
"Tanacetum vulgare L."
"Tanacetum parthenium (L.) Sch.Bi"
"Symphyotrichum squamatum (Spreng"
"Symphyotrichum lanceolatum (Will"
"Sonchus oleraceus L."
"Sonchus bulbosus (L.) N.Kilian &"
"Solidago virgaurea L."
"Serratula tinctoria L. subsp. ti"
"Senecio lividus L."
"Scorzoneroides autumnalis (L.) M"
"Scolymus hispanicus L."
