"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Geranium purpureum Vill.",99.8,800,85.7,9.1
"Euphorbia peplis L.",83,600,54.5,7.3
"Lythrum salicaria L.",100,1800,91.3,2.2
"Lilium bulbiferum L. subsp. croceum (Chaix) Jan",99.8,500,85.7,9.1
"Carex leporina L.",56.2,400,857.3,91.3
"Cyclamen hederifolium Aiton subsp. hederifolium",98.8,600,85.7,2.2
"Polygonatum odoratum (Mill.) Druce",46,600,16.9,1.8
"Eupatorium cannabinum L. subsp. cannabinum",94.3,500,84.7,8.6
"Fragaria vesca L. subsp. vesca",99.5,400,85.7,9.1
"Pistacia lentiscus L.",100,1200,91.1,2.1
"Glechoma hederacea L.",63.4,300,58.8,2.2
"Dryopteris filix-mas (L.) Schott",21.4,400,17.1,1.7
"Juncus inflexus L. subsp. inflexus",91.7,300,85.7,9.1
"Potentilla erecta (L.) Raeusch.",165.3,200,846.7,91.3
"Poa bulbosa L. subsp. bulbosa",90.4,600,85.7,5
"Dittrichia viscosa (L.) Greuter subsp. viscosa",95,700,65.8,2.2
"Plantago coronopus L.",2.8,500,712.7,22.5
"Ranunculus sardous Crantz",383.8,500,857.3,81.2
"Oxalis dillenii Jacq.",145.6,200,621.1,91.3
"Soda inermis Fourr.",123.8,200,190.8,73.8
"Arthrocaulon macrostachyum (Moric.) Piirainen & G.Kadereit",98.1,700,502.5,65
"Artemisia caerulescens L. subsp. cretacea (Fiori) Brilli-Catt. & Gubellini",65.7,100,65.7,65.7
"Geranium molle L.",99.9,800,84.7,9.1
"Astragalus sesameus L.",91.3,100,91.3,91.3
"Spergularia media (L.) C.Presl",97.5,300,73.5,65.6
"Limbarda crithmoides (L.) Dumort. subsp. longifolia (Arcang.) Greuter",969.1,400,545,72.6
"Atriplex prostrata Boucher ex DC.",76.3,400,50.2,8.3
"Anisantha diandra (Roth) Tutin",169.1,300,857.3,45.6
"Phytolacca americana L.",199952.9,800,857.3,91.3
"Veronica persica Poir.",99.6,800,85.7,1.1
"Euphorbia cyparissias L.",94.4,400,85.7,2.2
"Clinopodium vulgare L. subsp. vulgare",89.5,400,84.7,2.2
"Monotropa hypopitys L.",53.1,600,17,7.3
"Trifolium lappaceum L.",94.5,600,73.5,2.3
"Oenothera chicaginensis de Vries ex Renner & Cleland",87.3,200,67.3,61.2
"Juncus articulatus L. subsp. articulatus",99.3,400,85.7,35.9
"Baldellia ranunculoides (L.) Parl.",100,1200,172.7,2.5
"Plantago major L.",99.9,700,91.3,2.2
"Cistus salviifolius L.",100,2000,86.1,39.1
"Emerus major Mill. subsp. major",94.2,300,62.9,58.8
"Rhynchospora alba (L.) Vahl",40.4,100,40.4,40.4
"Spartium junceum L.",99.7,600,88.9,31.5
"Juniperus communis L.",94.9,400,84.8,2.2
"Genista germanica L.",94.8,300,62.9,62
"Cistus creticus L. subsp. eriocephalus (Viv.) Greuter & Burdet",100,1400,76.2,5
"Equisetum telmateia Ehrh.",99.8,900,91.3,0.8
"Hypochaeris glabra L.",100,1200,85.7,33.5
"Sporobolus pumilus (Roth) P.M.Peterson & Saarela",90.6,100,90.6,90.6
"Paspalum vaginatum Sw.",90.6,100,90.6,90.6
"Erica scoparia L. subsp. scoparia",100,1100,88.9,38.7
"Potamogeton lucens L.",100,1900,90.9,23.2
"Erica arborea L.",100,900,84.8,2.1
"Oenothera fallacoides Soldano & Rostanski",1.3,100,1.3,1.3
"Daphne gnidium L.",100,2000,85.7,24.8
"Glyceria fluitans (L.) R.Br.",98.8,700,87.4,2.2
"Tamarix gallica L.",98.5,500,88.7,2.2
"Ceratophyllum demersum L.",100,800,90.9,2.2
"Hydrocharis morsus-ranae L.",100,700,90.9,35.9
"Lemna minor L.",100,700,90.9,2.2
"Lemna gibba L.",99.2,400,90.9,2.2
"Nymphaea alba L.",99.7,500,90.9,35.9
"Lemna trisulca L.",100.3,700,172.7,25.8
"Najas minor All.",98.2,400,90.9,2.2
"Hydrocotyle ranunculoides L.f.",93.7,200,90.9,31.5
"Schoenoplectus lacustris (L.) Palla",88.5,200,88.5,0.3
"Schoenoplectus tabernaemontani (C.C.Gmel.) Palla",96,500,77.2,0.3
"Taraxacum trilobifolium Hudziok",61.4,100,61.4,61.4
"Ulmus laevis Pall.",56.5,100,56.5,56.5
"Amorpha fruticosa L.",99.9,900,76.8,8.3
"Prunus domestica L.",90.8,100,90.8,90.8
"Ophioglossum lusitanicum L.",90.9,300,70.8,2
"Ajuga chamaepitys (L.) Schreb. subsp. chamaepitys",15.6,200,13.6,2.2
"Oenothera italica Rostanski & Soldano",81.8,300,62.6,30.3
"Atriplex tatarica L.",27,100,27,27
"Oenothera stucchii Soldano",66.9,100,66.9,66.9
"Carex pseudocyperus L.",88.3,100,88.3,88.3
"Cirsium palustre (L.) Scop.",98.7,300,88.9,0.3
"Cladium mariscus (L.) Pohl",100,700,88.5,0.3
"Euphorbia hirsuta L.",99.2,700,88.3,19.1
"Juncus acutiflorus Ehrh. ex Hoffm.",0.3,100,0.3,0.3
"Lysimachia tenella L.",99.4,800,77,0.3
"Lotus pedunculatus Cav.",36.2,300,35.9,0.3
"Cirsium creticum (Lam.) d'Urv. subsp. triumfettii (Lacaita) K.Werner",61,300,41.7,0.3
"Osmunda regalis L.",100,1900,87.2,0.3
"Linum maritimum L. subsp. maritimum",99.9,700,88.3,23.2
