"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Amaranthus albus L.",85,3,66.7,30
"Platanus orientalis L.",84.8,4,41.3,26.4
"Linum strictum L. subsp. strictum",84.7,5,41,24.1
"Urtica urens L.",84.7,4,42.9,31.8
"Parietaria officinalis L.",84.6,3,54.5,40.1
"Trifolium stellatum L.",84.6,3,63.8,29.3
"Berula erecta (Huds. Coville",84.5,6,30,18.3
"Herniaria glabra L. subsp. glabra",84.3,4,40.9,34.7
"Scutellaria hastifolia L.",84.2,4,45.5,31.3
"Spergularia marina (L. Besser",84.1,3,68.9,25.7
"Epipactis microphylla (Ehrh. Sw. subsp. microphylla",84,4,41.3,29.1
"Galium lucidum All. subsp. lucidum",83.6,4,41.3,30
"Loncomelos pyrenaicum (L. Hrouda subsp. pyrenaicum",83.2,4,41.5,30
"Salvinia natans (L. All.",83.2,6,35.7,19.6
"Ammi majus L.",83,3,49.3,37.7
"Juncus fontanesii J.Gay subsp. fontanesii",83,2,75.7,30
"Ruta angustifolia Pers.",83,2,76.1,29
"Euphorbia esula L. subsp. esula",82.9,3,50.5,41.3
"Fragaria vesca L. subsp. vesca",82.9,4,41.3,30
"Ruppia maritima L.",82.9,5,46.5,22.2
"Cerastium siculum Guss.",82.8,4,50.6,24.5
"Digitalis micrantha Roth ex Schweigg.",82.3,1,82.3,82.3
"Euphorbia platyphyllos L.",82.2,3,63.5,29
"Genista tinctoria L.",82.1,3,62.8,30
"Schoenoplectus lacustris (L. Palla",82.1,4,46.5,29.1
"Teucrium flavum L. subsp. flavum",82.1,3,63.8,29
"Canna indica L.",82,1,82,82
"Convolvulus cantabrica L.",82,3,63.8,29
"Pyracantha coccinea M.Roem.",82,4,36.7,30
"Bupleurum tenuissimum L.",81.6,3,59.9,31.3
"Lunaria annua L.",81.5,3,51.1,31.3
"Ornithogalum exscapum Ten.",81.5,3,50.5,33.3
"Stachys recta L. subsp. recta",81.3,5,35.7,21.6
"Orobanche canescens C.Presl",81.2,2,70.3,36.9
"Oenanthe globulosa L.",81.1,4,39.5,25.6
"Saponaria officinalis L.",81.1,4,41.8,20.6
"Avena fatua L.",80.9,3,69.3,20.6
"Beta vulgaris L. subsp. maritima (L. Arcang.",80.7,2,68.9,38.1
"Sagittaria sagittifolia L.",80.6,6,34.9,19.4
"Sinapis alba L. subsp. alba",80.5,3,54,28.4
"Anthriscus sylvestris (L. Hoffm. subsp. sylvestris",80.2,2,70.9,31.9
"Fumaria muralis Sond. ex W.D.J.Koch subsp. muralis",80.2,4,41.3,24.7
"Lythrum tribracteatum Salzm. ex Spreng.",80.2,2,71.2,31.3
"Juncus compressus Jacq.",80,2,70.9,31.3
"Lemna trisulca L.",80,6,32,2.3
"Lilium candidum L.",79.8,1,79.8,79.8
"Oenothera stucchii Soldano",79.6,2,71.1,29.5
"Lepidium didymum L.",79.5,3,48.8,29
"Sabulina mediterranea (Ledeb. ex Link Rchb. subsp. mediterranea",79.5,3,43.6,35.8
"Parapholis filiformis (Roth C.E.Hubb.",79.4,3,68.9,2.7
"Rubus praecox Bertol.",79.4,3,41.5,39.9
"Scandix pecten-veneris L. subsp. pecten-veneris",79.4,3,51,22.4
"Sparganium neglectum Beeby",79.4,4,41.3,22.4
"Filago pyramidata L.",79.3,3,44.4,36.7
"Dianthus armeria L. subsp. armeria",79.2,2,69.3,32.2
"Reseda alba L. subsp. alba",79.1,2,54.5,54
"Lathyrus ochrus (L. DC.",78.9,3,44.6,36.5
"Scabiosa uniseta Savi",78.9,2,69.3,31.3
"Helianthemum nummularium (L. Mill. subsp. obscurum (Čelak. Holub",78.8,4,38,29
"Trifolium echinatum M.Bieb.",78.6,2,68.9,31.3
"Pulicaria sicula (L. Moris",78.3,4,35.7,24.6
"Lathyrus clymenum L.",78.2,2,68.9,30
"Ostrya carpinifolia Scop.",78.2,4,42.2,26.4
"Odontites vernus (Bellardi Dumort. subsp. serotinus Corb.",77.5,4,36.5,26.4
"Cynoglossum creticum Mill.",77.4,3,44.3,35.9
"Populus ×canadensis Moench nothosubsp. canadensis",77.3,3,66.7,2.7
"Oreoselinum nigrum Delarbre",77.2,4,34.7,26.7
"Trifolium suffocatum L.",77,1,77,77
"Vicia narbonensis L. subsp. narbonensis",77,1,77,77
"Ulmus glabra Huds.",76.8,3,41.3,36.7
"Rostraria cristata (L. Tzvelev",76.7,2,66.7,30
"Trigonella altissima (Thuill. Coulot & Rabaute",76.6,2,63.8,35.5
"Allium coloratum Spreng.",76.3,3,49.3,31.3
"Equisetum fluviatile L.",76.2,1,76.2,76.2
"Bromus racemosus L. subsp. racemosus",75.9,3,41.3,30
"Calendula arvensis (Vaill. L.",75.9,3,43.5,29
"Cynanchica pyrenaica (L. P.Caputo & Del Guacchio subsp. cynanchica (L. P.Caputo & Del Guacchio",75.9,3,41.3,30
"Ribes rubrum L.",75.8,3,41.3,35.5
"Ecballium elaterium (L. A.Rich.",75.5,3,39.9,35.8
"Plantago lagopus L.",75.5,3,40.1,31.9
"Ranunculus lingua L.",75.5,3,44.4,26.7
"Vicia cordata Wulfen ex Hoppe",75.3,3,41.3,30
"Mummenhoffia alliacea (L.smailbegi & Al-Shehbaz",75.2,3,39.7,35
"Anacamptis ×alata (Fleury H.Kretzschmar,ccarius & H.Dietr.",75.1,2,64.4,30
"Linum trigynum L.",75.1,4,31.9,26.4
"Isatis tinctoria L. subsp. tinctoria",75,2,51,48.9
"Vicia lathyroides L.",75,3,41.3,31.8
"Passiflora caerulea L.",74.8,1,74.8,74.8
"Pseudotsuga menziesii (Mirb. Franco",74.8,1,74.8,74.8
"Leontodon saxatilis Lam. subsp. saxatilis",74.7,3,39.9,30
"Sedum dasyphyllum L. subsp. dasyphyllum",74.7,2,63.8,30
"Prunus cerasiferahrh.",74.4,2,63.8,29.3
"Aira elegans Willd. subsp. elegans",74,3,44.4,31.3
"Carpobrotus acinaciformis (L. L.Bolus",74,2,59.7,35.4
"Myriophyllum verticillatum L.",74,2,67.2,20.7
"Tragopogon pratensis L.",74,2,59.7,35.4
"Valerianella eriocarpa Desv.",74,3,41.3,24.3
"Asparagus tenuifolius Lam.",73.9,3,41.5,25.6
"Prunus avium L.",73.5,2,63.8,26.8
"Vicia bithynica (L. L.",73.3,3,44.6,30
"Trifolium tomentosum L.",73.2,1,73.2,73.2
"Mentha ×rotundifolia (L. Huds.",73,3,41.7,21
"Torilis nodosa (L. Gaertn. subsp. nodosa",72.7,3,40.4,23.8
"Vitex agnus-castus L.",72.3,3,44.4,29
"Cyperus alternifolius L. subsp. flabelliformis Kük.",72.2,3,48.3,25.1
"Polygala nicaeensis Risso ex W.D.J.Koch subsp. italiana (Chodat Arrigoni",72.1,4,30,26
"Isoëtes gymnocarpa (Gennari A.Braun",72,3,34.6,34.5
"Fallopia dumetorum (L. Holub",71.8,3,42.2,27.7
"Verbascum phoeniceum L.",71.7,1,71.7,71.7
"Hydrocotyle ranunculoides L.f.",71.3,4,39.4,19.4
"Potentilla argentea L.",71.3,3,38.2,30.9
"Allium sphaerocephalon L. subsp. sphaerocephalon",70.9,1,70.9,70.9
"Elymus caninus (L. L.",70.9,1,70.9,70.9
"Scorpiurus subvillosus L.",70.9,1,70.9,70.9
"Vicia incana Gouan",70.9,1,70.9,70.9
"Oenanthe fistulosa L.",70.5,3,39.5,25.6
"Abutilon theophrasti Medik.",70.3,3,38.2,24.7
"Thlaspi arvense L.",70.1,2,45.4,45.3
"Oenothera laciniata Hill",69.7,3,40.9,19.2
"Geranium lucidum L.",69.5,2,45.1,44.5
"Oxybasis rubra (L. S.Fuentes, Uotila & Borsch",69.4,4,44.6,2.4
"Anemone hortensis L. subsp. hortensis",69.3,3,36.2,30
"Bromus arvensis L. subsp. arvensis",69.3,1,69.3,69.3
"Phelipanche schultzii (Mutel Pomel",69.3,1,69.3,69.3
"Punica granatum L.",69.3,1,69.3,69.3
"Selaginella denticulata (L. Spring",69.3,1,69.3,69.3
"Wisteria sinensis (Sims DC.",69.3,1,69.3,69.3
"Bromus squarrosus L. subsp. squarrosus",68.9,1,68.9,68.9
"Loncomelos narbonense (L. Raf.",68.9,1,68.9,68.9
"Trigonella sicula (Turra Coulot & Rabaute",68.9,1,68.9,68.9
"Delphinium hispanicum Willk. ex Costa",68.8,2,44.2,44.2
"Stellaria aquatica (L. Scop.",68.8,3,35.1,26.4
"Centaurea nigrescens Willd. subsp. pinnatifida (Fiori Dostál",68.7,2,44.5,43.6
"Stachys sylvatica L.",68.5,2,43.9,43.9
"Trigonella officinalis (L. Coulot & Rabaute",68.4,2,54,31.3
"Genista monspessulana (L. L.Johnson",68.3,1,68.3,68.3
"Serapias parviflora Parl.",68.2,3,41.9,21.7
"Trifolium vesiculosum Savi",68.1,3,31.9,31.3
"Papaver dubium L.",67.8,2,54,30
"Ficaria verna Huds. subsp. ficariiformis (F.W.Schultz B.Walln.",67.6,2,49.3,36.2
"Mentha suaveolenshrh.",67.6,2,43.1,43
"Cornus mas L.",67.5,3,35.4,27.3
"Odontites luteus (L. Clairv. subsp. luteus",67.5,3,36.6,26.7
"Gleditsia triacanthos L.",67.3,2,45.1,40.5
"Lotus ornithopodioides L.",67.2,2,44.4,41.1
"Beckmannia eruciformis (L. Host subsp. eruciformis",66.8,3,34.3,25.6
"Herniaria hirsuta L. subsp. hirsuta",66.7,1,66.7,66.7
"Phyla canescens (Kunth Greene",66.7,3,33,27.5
"Polygonum rurivagum Jord. ex Boreau",66.7,1,66.7,66.7
"Sclerochloa dura (L. P.Beauv.",66.7,3,34.3,25.6
"Scolymus hispanicus L. subsp. occidentalis F.M.Vásquez",66.7,1,66.7,66.7
"Veronica anagalloides Guss. subsp. anagalloides",66.7,1,66.7,66.7
"Viola odorata L.",66.7,2,51.1,31.9
"Papaver setigerum DC.",66.5,1,66.5,66.5
"Trifolium striatum L. subsp. striatum",66.4,3,34.3,25.6
"Bromus scoparius L.",66.3,1,66.3,66.3
"Quercus ilex L.",66.3,1,66.3,66.3
"Romulea bulbocodium (L. Sebast. & Mauri",66.3,2,50.5,31.9
"Jacobaea maritima (L. Pelser & Meijden subsp. maritima",66.2,2,42.8,41
"Capsella rubella Reut.",65.8,2,51.1,30
"Centaurea sphaerocephala L. subsp. sphaerocephala",65.6,1,65.6,65.6
"Ophrys apifera Huds.",65.5,3,33.7,24.3
"Drabella muralis (L. Fourr.",65.2,2,41.1,41
"Setaria verticillata (L. P.Beauv.",65.2,2,41.3,40.7
"Nymphoides peltata (S.G.Gmel. Kuntze",64.9,2,41.3,40.2
"Centaurea calcitrapa L.",64.6,1,64.6,64.6
"Cutandia maritima (L. Benth. ex Barbey",64.6,3,32.1,25.7
"Eleusine indica (L. Gaertn.",64.5,2,49.3,30
"Pastinaca sativa L. subsp. sativa",64.5,2,40.9,39.9
"Schoenoplectiella mucronata (L. J.Jung & H.K.Choi",64.3,3,39.4,20.6
"Briza media L.",64.2,2,47.9,31.3
"Morus nigra L.",63.8,1,63.8,63.8
"Najas minor All.",63.7,4,25,20.6
"Puccinellia distans (Jacq. Parl. subsp. distans",63.6,2,46.5,32.1
"Silene baccifera (L. Durande",63.6,2,44.2,34.7
"Hordeum secalinum Schreb.",63.5,2,44.4,34.3
"Iris germanica L.",63.4,2,41.3,37.5
"Vicia peregrina L.",63.4,2,44.4,34.2
"Oxalis pes-caprae L.",63.3,2,48.3,29
"Carex liparocarpos Gaudin subsp. liparocarpos",63,2,41.3,37
"Hieracium bifidum Kit. ex Hornem.",62.8,2,41.3,36.7
"Apium graveolens L.",62.6,3,35.5,23
"Allium savii Parl.",62.2,3,31.3,20.7
"Hieracium sabaudum L.",62.2,3,30,26.4
"Marrubium vulgare L.",62.2,1,62.2,62.2
"Symphytum tuberosum L. subsp. angustifolium (A.Kern.yman",62.2,1,62.2,62.2
"Leersia oryzoides (L. Sw.",62,2,41.2,35.3
"Mentha pulegium L. subsp. pulegium",61.8,2,44.4,31.3
"Poa palustris L. subsp. palustris",61.8,2,44.4,31.3
"Pilosella officinarum Vaill.",61.1,2,44.4,30
"Digitaria ischaemum (Schreb. Muhl. subsp. ischaemum",61,2,42.6,32
"Ophioglossum vulgatum L. subsp. vulgatum",61,2,41.3,33.6
"Clinopodium menthifolium (Host Merino subsp. menthifolium",60.6,2,42.6,31.3
"Oenothera sinuosa W.L.Wagner & Hoch",60.4,3,30,23.8
"Viola arvensis Murray subsp. arvensis",60.4,2,41.3,32.5
"Tragopogon eriospermus Ten.",60.3,2,41.3,32.3
"Taraxacum obovatum (Willd. DC.",60.2,2,38,35.8
"Rosa corymbifera Borkh.",60.1,2,46.3,25.6
"Rumex obtusifolius L. subsp. obtusifolius",60.1,2,39.3,34.3
"Erodium moschatum (L. L'Hér.",60,2,43.6,29
"Ceratochloa cathartica (Vahl Herter",59.9,2,44.6,27.7
"Cytisus villosus Pourr.",59.9,2,41.1,31.9
"Eragrostis minor Host subsp. minor",59.8,2,42.6,30
"Solanum villosum Mill.",59.8,2,42.6,30
"Stellaria neglecta Weihe subsp. neglecta",59.8,2,41.1,31.7
"Erigeron karvinskianus DC.",59.4,2,36.7,35.9
"Succisa pratensis Moench",59.3,3,30,20.7
"Clinopodium nepeta (L. Kuntze subsp. spruneri (Boiss. Bartolucci & F.Conti",59,2,36.6,35.3
"Filago eriocephala Guss.",58.9,2,41.3,30
"Valerianella carinata Loisel.",58.9,2,45,25.3
"Artemisia caerulescens L. subsp. cretacea (Fiori Brilli-Catt. & Gubellini",58.8,1,58.8,58.8
"Knautia arvensis (L. Coult.",58.2,2,36.3,34.3
"Medicago turbinata (L. All.",58.2,2,38.2,32.4
"Scrophularia peregrina L.",58.2,2,41.1,29
"Verbena bonariensis L.",58.2,2,35.4,35.4
"Oenanthe peucedanifolia Pollich",57.9,2,36,34.3
"Orobanche litorea Guss.",57.7,1,57.7,57.7
"Helianthus tuberosus L.",57.5,2,39.3,30
"Anethum piperitum Ucria",57.4,2,38.1,31.3
"Plantago cornutii Gouan",57.4,2,36.9,32.4
"Valerianella locusta (L. Laterr.",57.4,2,38,31.3
"Broussonetia papyrifera (L. Vent.",57.3,2,41.3,27.2
"Phedimus stellatus (L. Raf.",57.1,2,39.5,29
"Kickxia spuria (L. Dumort. subsp. spuria",56.8,2,36.2,32.3
"Ranunculus acris L. subsp. acris",56.8,3,26.7,20.6
"Ophioglossum lusitanicum L.",56.5,2,35.5,32.6
"Ranunculus peltatus Schrank",56.2,2,38.9,28.2
"Leontodon hispidus L. subsp. hispidus",55.8,2,44.4,20.6
"Lobularia maritima (L. Desv.",55.8,1,55.8,55.8
"Calepina irregularis (Asso Thell.",54.7,2,35.3,30
"Nerium oleander L. subsp. oleander",54.5,1,54.5,54.5
"Parapholis strigosa (Dumort. C.E.Hubb.",54.5,1,54.5,54.5
"Lepidium virginicum L. subsp. virginicum",54.4,3,30,19.2
"Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz",54,1,54,54
"Linum tenuifolium L.",54,1,54,54
"Medicago rigidula (L. All.",54,1,54,54
"Prunus domestica L.",54,2,34.3,30
"Stachys germanica L. subsp. salviifolia (Ten. Gams",54,2,36.7,27.4
"Romulea columnae Sebast. & Mauri",53.9,2,38,25.6
"Solenopsis laurentia (L. C.Presl",53.3,2,34.3,29
"Vicia cassubica L.",53.1,2,31.8,31.3
"Potentilla pedata Willd. ex Hornem.",52.9,2,31.9,30.9
"Zannichellia palustris L.",52.6,2,31.3,31
"Catapodium hemipoa (Delile ex Spreng. M.Laínz",52.4,2,32.1,30
"Tamarix canariensis Willd.",52.4,2,32,30
"Carex stenophylla Wahlenb. subsp. stenophylla",52.3,2,31.8,30
"Pilosella piloselloides (Vill. Soják subsp. praealta (Vill. ex Gochnat S.Bräut. & Greuter",52.3,2,31.9,30
"Hieracium umbellatum L. subsp. umbellatum",52.2,2,31.8,30
"Phelipanche nana (Reut. Soják",52,2,31.3,30.2
"Pentanema salicinum (L. D.Gut.Larr., Santos-Vicente, Anderb.,.Rico & M.M.Mart.Ort.",51.9,2,31.3,30
"Romulea ramiflora Ten. subsp. ramiflora",51.9,2,33.3,28
"Mirabilis jalapa L.",51.6,2,31.9,29
"Triticum neglectum (Req.ex Bertol. Greuter",51.5,2,31.8,29
"Cicendia filiformis (L. Delarbre",51.1,2,34.3,25.6
"Symphytum bulbosum K.F.Schimp.",51.1,1,51.1,51.1
"Cerastium diffusum Pers. subsp. diffusum",51,2,30,30
"Petrorhagia saxifraga (L. Link subsp. saxifraga",50.7,2,30,29.6
"Cerastium brachypetalum Desp. ex Pers. subsp. roeseri (Boiss. & Heldr.yman",50.6,1,50.6,50.6
"Vallisneria spiralis L.",50.6,3,22.8,19.4
"Crepis zacintha (L. Loisel.",50.3,2,30,29
"Logfia gallica (L. Cosson & Germ.",50.2,1,50.2,50.2
"Genista germanica L.",50,2,31.3,27.3
"Crepis foetida L. subsp. foetida",49.9,2,30,28.5
"Lobelia erinus L.",49.9,2,29.2,29.2
"Persicaria capitata (D.Don. H.Gross",49.8,2,29.2,29.2
"Bulbine asphodeloides (L. Spreng.",49.6,2,29,29
"Glechoma hederacea L.",49.6,2,31.3,26.7
"Brassica rapa L. subsp. campestris (L. Clapham",49.5,1,49.5,49.5
"Cervaria rivini Gaertn.",49.3,1,49.3,49.3
"Heliotropium europaeum L.",49.3,1,49.3,49.3
"Symphytum orientale L.",49.3,1,49.3,49.3
"Tragopogon dubius Scop.",49.3,1,49.3,49.3
"Centaurium maritimum (L. Fritsch",49.1,2,30.5,26.7
"Rhinanthus alectorolophus (Scop. Pollich subsp. alectorolophus",49,1,49,49
"Rorippa sylvestris (L. Besser subsp. sylvestris",49,3,20.6,19.4
"Petrosedum rupestre (L. P.V.Heath",48.8,2,30,26.9
"Epipactis helleborine (L. Crantz",48.7,2,30,26.7
"Origanum vulgare L. subsp. vulgare",48.7,2,30,26.7
"Prunella laciniata (L. L.",48.7,2,30,26.7
"Solidago virgaurea L. subsp. virgaurea",48.7,2,30,26.7
"Cyperus fuscus L.",48.6,3,30,2.3
"Carlina vulgaris L. subsp. vulgaris",48.4,2,30,26.4
"Rapistrum rugosum (L. All.",48.1,2,31.3,24.5
"Euphorbia characias L.",47.9,2,33,22.2
"Sorbus domestica L.",47.4,2,30,24.9
"Malva multiflora (Cav. Soldano, Banfi & Galasso",47.3,2,33.6,20.7
"Euphorbia lathyris L.",46.3,1,46.3,46.3
"Oloptum miliaceum (L. Röser & H.R.Hamasha",45.7,1,45.7,45.7
"Muscari botryoides (L. Mill. subsp. botryoides",45.1,1,45.1,45.1
"Theligonum cynocrambe L.",45.1,1,45.1,45.1
"Valantia muralis L.",44.5,1,44.5,44.5
"Aira cupaniana Guss.",44.4,1,44.4,44.4
"Carex echinata Murray subsp. echinata",44.4,1,44.4,44.4
"Carex strigosa Huds.",44.4,1,44.4,44.4
"Cerastium arvense L. subsp. arvense",44.4,1,44.4,44.4
"Geranium sylvaticum L.",44.4,1,44.4,44.4
"Hippophaë fluviatilis (Soest Rivas Mart.",44.4,1,44.4,44.4
"Marrubium incanum Desr.",44.4,1,44.4,44.4
"Melica ciliata L. subsp. ciliata",44.4,1,44.4,44.4
"Poa nemoralis L. subsp. nemoralis",44.4,1,44.4,44.4
"Stachys montana (L. Peruzzi & Bartolucci subsp. montana",44.4,1,44.4,44.4
"Tristagma uniflorum (Lindl. Traub",44.4,1,44.4,44.4
"Sagina alexandrae Iamonico",44.2,1,44.2,44.2
"Coriandrum sativum L.",43.9,1,43.9,43.9
"Ferula communis L. subsp. communis",43.9,1,43.9,43.9
"Rubus hirtus Waldst. & Kit. group",43.9,1,43.9,43.9
"Petunia hybrida Vilm.",43.8,1,43.8,43.8
"Epilobium parviflorum Schreb.",43.5,2,30,19.4
"Sedum glandulosum Moris",43.4,1,43.4,43.4
"Conium maculatum L. subsp. maculatum",43.1,1,43.1,43.1
"Crepis dioscoridis L.",42.6,1,42.6,42.6
"Poa compressa L.",42.6,1,42.6,42.6
"Solanum triflorumutt.",42.6,1,42.6,42.6
"Betula pendula Roth",42.2,1,42.2,42.2
"Rosa nitidula Besser",42.1,1,42.1,42.1
"Euphorbia serpens Kunth subsp. serpens",42,1,42,42
"Acorus calamus L.",41.3,1,41.3,41.3
"Fraxinus excelsior L. subsp. excelsior",41.3,1,41.3,41.3
"Polystichum aculeatum (L. Roth",41.3,1,41.3,41.3
"Thalictrum simplex L. subsp. simplex",41.3,1,41.3,41.3
"Trifolium pallidum Waldst. & Kit.",41.3,1,41.3,41.3
"Anredera cordifolia (Ten. Steenis",41,1,41,41
"Mentha suaveolenshrh. subsp. insularis (Req. Greuter",40.9,1,40.9,40.9
"Ambrosia artemisiifolia L.",40.7,1,40.7,40.7
"Micromeria juliana (L. Benth. ex Rchb.",40.4,1,40.4,40.4
"Oenothera stricta Link subsp. stricta",40.1,2,25.9,19.2
"Euphorbia pithyusa L. subsp. pithyusa",40,1,40,40
"Turritis glabra L.",39.9,1,39.9,39.9
"Viburnum opulus L.",39.9,2,26.4,18.3
"Buglossoides arvensis (L. I.M.Johnst. subsp. arvensis",39.7,1,39.7,39.7
"Trisetaria aurea (Ten. Banfi & Galasso",39.7,1,39.7,39.7
"Cyperus difformis L.",39.4,1,39.4,39.4
"Persicaria decipiens (R.Br. K.L.Wilson",38.9,2,23,20.6
"Ranunculus saniculifolius Viv.",38.9,1,38.9,38.9
"Daphne laureola L.",38.8,1,38.8,38.8
"Ranunculus arvensis L.",38.7,2,22.4,21
"Callitriche truncata Guss.",38.2,1,38.2,38.2
"Elatine alsinastrum L.",38.2,1,38.2,38.2
"Exaculum pusillum (Lam. Caruel",38.2,1,38.2,38.2
"Helosciadium inundatum (L. W.D.J.Koch",38.2,1,38.2,38.2
"Middendorfia borysthenica (Schrank Trautv.",38.2,1,38.2,38.2
"Sedum rubens L.",38.2,1,38.2,38.2
"Ambrosia maritima L.",38,1,38,38
"Physalis peruviana L.",38,1,38,38
"Atriplex tatarica L.",37.8,1,37.8,37.8
"Ulmus laevis Pall.",37.7,1,37.7,37.7
"Barlia robertiana (Loisel. Greuter",37.5,1,37.5,37.5
"Potamogeton nodosus Poir.",37.4,1,37.4,37.4
"Romulea rollii Parl.",37,1,37,37
"Blackstonia perfoliata (L. Huds. subsp. intermedia (Ten. Zeltner",36.3,1,36.3,36.3
"Polygala flavescens DC. subsp. flavescens",36.3,1,36.3,36.3
"Potamogeton pusillus L.",36,2,20.6,19.4
"Visnaga daucoides Gaertn.",36,1,36,36
"Antirrhinum majus L.",35.9,1,35.9,35.9
"Urospermum picroides (L. Scop. ex F.W.Schmidt",35.9,1,35.9,35.9
"Anacamptis papilionacea (L. R.M.Bateman, Pridgeon & M.W.Chase",35.8,1,35.8,35.8
"Anchusa azurea Mill.",35.8,1,35.8,35.8
"Neslia paniculata (L. Desv. subsp. paniculata",35.7,1,35.7,35.7
"Symphyotrichum ×salignum (Willd. G.L.Nesom",35.7,1,35.7,35.7
"Tetragonia tetragonoides (Pallas Kuntze",35.7,1,35.7,35.7
"Amaranthus graecizans L. subsp. sylvestris (Vill. Brenan",35.5,1,35.5,35.5
"Anethum ridolfia Spalik & Reduron",35.5,1,35.5,35.5
"Isoëtes durieui Bory",35.1,1,35.1,35.1
"Spergula pentandra L.",35.1,1,35.1,35.1
"Phalaris canariensis L.",34.9,2,19.4,19.2
"Triglochin palustris L.",34.7,1,34.7,34.7
"Tulipa sylvestris L.",34.4,1,34.4,34.4
"Glyceria spicata Guss. subsp. spicata",34.3,1,34.3,34.3
"Jasione montana L.",34.3,1,34.3,34.3
"Trifolium ligusticum Balb. ex Loisel.",34.3,1,34.3,34.3
"Trifolium strictum L.",34.3,1,34.3,34.3
"Atriplex halimus L.",34,1,34,34
"Bougainvillea glabra Choisy",34,1,34,34
"Pentanema britannicum (L. D.Gut.Larr., Santos-Vicente, Anderb.,.Rico & M.M.Mart.Ort.",33.9,1,33.9,33.9
"Potamogeton perfoliatus L.",33.3,1,33.3,33.3
"Vicia elegantissima Shuttlew. ex Rouy",33.1,1,33.1,33.1
"Carduus tenuiflorus Curtis",33,1,33,33
"Viola riviniana Rchb. subsp. riviniana",33,1,33,33
"Lathyrus nissolia L.",32.8,1,32.8,32.8
"Echium italicum L. subsp. italicum",32.5,1,32.5,32.5
"Herniaria glabra L.",32.5,1,32.5,32.5
"Epitrachys italica (DC. Bureš, Del Guacchio, Iamonico & P.Caputo",32.3,1,32.3,32.3
"Medicago ciliaris (L. All.",32.3,1,32.3,32.3
"Scolymus maculatus L.",32.3,1,32.3,32.3
"Brassica nigra (L. W.D.J.Koch",32.1,1,32.1,32.1
"Typha minima Funk ex Hoppe",32.1,1,32.1,32.1
"Vicia faba L.",32.1,1,32.1,32.1
"Allium chamaemoly L. subsp. chamaemoly",31.9,1,31.9,31.9
"Allium pallens L.",31.9,1,31.9,31.9
"Asphodelus ramosus L. subsp. ramosus",31.9,1,31.9,31.9
"Centaurea aspera L. subsp. aspera",31.9,1,31.9,31.9
"Dracunculus vulgaris Schott",31.9,1,31.9,31.9
"Ervilia sylvatica (L. Schur",31.9,1,31.9,31.9
"Hieracium murorum L.",31.9,1,31.9,31.9
"Nepeta cataria L.",31.9,1,31.9,31.9
"Parthenocissus inserta (A.Kern. Fritsch",31.9,1,31.9,31.9
"Potentilla inclinata Vill.",31.9,1,31.9,31.9
"Tanacetum vulgare L. subsp. vulgare",31.9,1,31.9,31.9
"Trifolium bocconei Savi",31.9,1,31.9,31.9
"Vicia disperma DC.",31.9,1,31.9,31.9
"Carex davalliana Sm.",31.8,1,31.8,31.8
"Genista pilosa L.",31.8,1,31.8,31.8
"Phyllostachys aurea Carrière ex Rivière & C.Rivière",31.8,1,31.8,31.8
"Hyacinthoides hispanica (Mill. Rothm.",31.7,1,31.7,31.7
"Ophrys maritima Pacifico & Soca",31.5,1,31.5,31.5
"Allium longispathum Redouté",31.3,1,31.3,31.3
"Bellardiochloa variegata (Lam. Kerguélen subsp. variegata",31.3,1,31.3,31.3
"Brassica oleracea L.",31.3,1,31.3,31.3
"Carex demissa Hornem. subsp. demissa",31.3,1,31.3,31.3
"Dianthus carthusianorum L. subsp. carthusianorum",31.3,1,31.3,31.3
"Eleocharis uniglumis (Link Schult.",31.3,1,31.3,31.3
"Equisetum variegatum Schleich. ex Weber & D.Mohr",31.3,1,31.3,31.3
"Euphorbia amygdaloides L.",31.3,1,31.3,31.3
"Lolium temulentum L.",31.3,1,31.3,31.3
"Lotus corniculatus L. subsp. preslii (Ten. P.Fourn.",31.3,1,31.3,31.3
"Lotus dorycnium L. subsp. dorycnium",31.3,1,31.3,31.3
"Melica uniflora Retz.",31.3,1,31.3,31.3
"Milium effusum L. subsp. effusum",31.3,1,31.3,31.3
"Polygala vulgaris L. subsp. vulgaris",31.3,1,31.3,31.3
"Rostraria hispida (Savi Doğan",31.3,1,31.3,31.3
"Silene dioica (L. Clairv.",31.3,1,31.3,31.3
"Silene subconica Friv.",31.3,1,31.3,31.3
"Sison amomum L.",31.3,1,31.3,31.3
"Trifolium incarnatum L. subsp. molinerii (Hornem. Ces.",31.3,1,31.3,31.3
"Trifolium infamia-ponertii Greuter",31.3,1,31.3,31.3
"Trigonella dentata (Waldst. & Kit. Coulot & Rabaute",31.3,1,31.3,31.3
"Trigonella segetalis (Brot. Coulot & Rabaute",31.3,1,31.3,31.3
"Veronica acinifolia L.",31.3,1,31.3,31.3
"Veronica filiformis Sm.",31.3,1,31.3,31.3
"Viola alba Besser subsp. alba",31.3,1,31.3,31.3
"Juniperus turbinata Guss.",31.1,1,31.1,31.1
"Charybdis maritima (L. Speta",30.9,1,30.9,30.9
"Triglochin maritima L.",30.9,1,30.9,30.9
"Schoenoplectus triqueter (L. Palla",30.5,1,30.5,30.5
