"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Erigeron canadensis L.",100,10,97.6,64.7
"Erigeron sumatrensis Retz.",100,6,98.7,30.9
"Erodium cicutarium (L. L'Hér.",100,10,97.8,44.4
"Ervum gracile DC.",100,10,97.6,35.9
"Eryngium maritimum L.",100,10,75.7,44.4
"Eucalyptus camaldulensis Dehnh.",100,3,98.7,70.9
"Euonymus europaeus L.",100,10,98.5,91.3
"Eupatorium cannabinum L. subsp. cannabinum",100,10,98.7,86
"Euphorbia cyparissias L.",100,10,98.2,31.3
"Euphorbia helioscopia L. subsp. helioscopia",100,10,96.7,47.9
"Euphorbia hirsuta L.",100,10,97.4,26.4
"Euphorbia maculata L.",100,9,98.2,30
"Euphorbia palustris L.",100,10,98.7,97.4
"Euphorbia paralias L.",100,10,73.9,59.7
"Euphorbia peplis L.",100,10,91.3,42
"Euphorbia peplus L.",100,10,97.8,47.1
"Fallopia convolvulus (L. Á.Löve",100,3,98.7,40.1
"Festuca bromoides L.",100,10,97.6,61.1
"Festuca danthonii Asch. & Graebn. subsp. danthonii",100,7,98.7,58.9
"Festuca fasciculata Forssk.",100,10,97.8,67.1
"Festuca incurva (Gouan Gutermann",100,7,97.8,31.9
"Festuca muralis Kunth",100,2,98.5,97.8
"Festuca myuros L. subsp. myuros",100,10,98.5,40.3
"Ficus carica L.",100,10,98.7,89.5
"Filago germanica (L. Huds.",100,10,98.5,31.3
"Fimbristylis squarrosa Vahl",100,4,96.7,39.9
"Frangula alnus Mill. subsp. alnus",100,10,98,86
"Fraxinus angustifolia Vahl subsp. oxycarpa (Willd. Franco & Rocha Afonso",100,10,98.7,97.4
"Fraxinus ornus L. subsp. ornus",100,10,98.7,95.8
"Galatella tripolium (L. Galasso, Bartolucci & Ardenghi subsp. pannonica (Jacq. Galasso, Bartolucci & Ardenghi",100,10,85.7,54.5
"Galega officinalis L.",100,3,98.2,78.9
"Galium aparine L.",100,10,98.5,51.2
"Galium mollugo L.",100,10,98.5,41
"Galium palustre L. subsp. elongatum (C.Presl Arcang.",100,10,97.8,66.7
"Galium palustre L. subsp. palustre",100,10,98.5,95.8
"Galium parisiense L.",100,3,97.8,97.8
"Gaudinia fragilis (L. P.Beauv.",100,10,98.5,70.9
"Geranium columbinum L.",100,6,97.8,31.3
"Geranium dissectum L.",100,10,99.3,44.6
"Geranium molle L.",100,10,97.8,47.7
"Geranium purpureum Vill.",100,10,98.5,62.3
"Geranium robertianum L.",100,8,97.8,36.3
"Geum urbanum L.",100,9,98.5,35.3
"Glyceria fluitans (L. R.Br.",100,7,96.7,20.4
"Gnaphalium uliginosum L.",100,5,97.8,34.3
"Gratiola officinalis L.",100,10,98.2,81.9
"Halimione portulacoides (L. Aellen",100,10,90,27.3
"Hedera helix L. subsp. helix",100,10,98.7,97.6
"Helichrysum italicum (Roth G.Don subsp. italicum",100,6,98.2,31.9
"Helichrysum stoechas (L. Moench subsp. stoechas",100,10,96.9,44.4
"Heliotropium amplexicaule Vahl",100,3,96.9,50.6
"Helminthotheca echioides (L. Holub",100,10,98.7,68.9
"Helosciadium nodiflorum (L. W.D.J.Koch subsp. nodiflorum",100,10,98.7,20.6
"Hibiscus moscheutos L. subsp. moscheutos",100,10,98,85.7
"Holcus lanatus L. subsp. lanatus",100,10,98.7,85.7
"Holcus mollis L. subsp. mollis",100,6,98,54
"Hordeum marinum Huds.",100,10,98.7,39.9
"Hordeum murinum L. subsp. leporinum (Link Arcang.",100,10,98.7,79.6
"Hottonia palustris L.",100,10,99.3,22.8
"Humulus lupulus L.",100,10,98.7,51.1
"Hydrocotyle vulgaris L.",100,10,98,97.4
"Hypericum androsaemum L.",100,10,96.7,43.1
"Hypericum elodes L.",100,7,96.7,31.8
"Hypericum humifusum L.",100,8,98.5,34.3
"Hypericum perfoliatum L.",100,4,97.8,74.8
"Hypericum perforatum L. subsp. perforatum",100,10,98.7,95.8
"Hypericum perforatum L. subsp. veronense (Schrank Ces.",100,5,98.5,39.9
"Hypericum tetrapterum Fr.",100,5,91.7,39.9
"Hypochaeris glabra L.",100,10,97.8,41.1
"Hypochaeris radicata L.",100,10,98.5,49.5
"Isolepis setacea (L. R.Br.",100,5,97.8,23.4
"Juncus acutus L. subsp. acutus",100,10,98.7,75.9
"Juncus articulatus L. subsp. articulatus",100,10,98.7,97.4
"Juncus bufonius L.",100,10,98.7,70.9
"Juncus bulbosus L.",100,10,96.7,29.4
"Juncus conglomeratus L.",100,10,97.6,44.4
"Juncus effusus L. subsp. effusus",100,10,98.7,97.4
"Juncus gerardi Loisel. subsp. gerardi",100,10,97.4,46.5
"Juncus inflexus L. subsp. inflexus",100,10,97.6,95.8
"Juncus maritimus Lam.",100,10,97.8,70.5
"Juncus subnodulosus Schrank",100,10,98.7,19.4
"Juniperus macrocarpa Sm.",100,10,73.9,37.1
"Lactuca sativa L. subsp. serriola (L. Galasso, Banfi, Bartolucci & Ardenghi",100,8,98.5,21.6
"Lagurus ovatus L. subsp. ovatus",100,10,98.2,90.2
"Lamium purpureum L.",100,10,97.8,45.1
"Lapsana communis L. subsp. communis",100,8,98.7,31.3
"Lathyrus hirsutus L.",100,10,98.7,39.9
"Lathyrus palustris L.",100,10,98,18.3
"Laurus nobilis L.",100,10,98.5,95.8
"Lemna gibba L.",100,10,98.7,29.3
"Lemna minor L.",100,10,98.7,30
"Lemna minuta Kunth",100,8,97.8,32.3
"Leucojum aestivum L. subsp. aestivum",100,8,95.8,31.9
"Ligustrum vulgare L.",100,10,98.7,44.1
"Limbarda crithmoides (L. Dumort. subsp. longifolia (Arcang. Greuter",100,10,84.6,39.9
"Limniris pseudacorus (L. Fuss",100,10,98.7,96.7
"Limonium narbonense Mill.",100,10,97.4,57.4
"Linaria vulgaris Mill. subsp. vulgaris",100,10,98.7,44.6
"Linum usitatissimum L. subsp. angustifolium (Huds. Thell.",100,10,99.3,40.1
"Lipandra polysperma (L. S.Fuentes, Uotila & Borsch",100,5,98.9,20.7
"Logfia minima (Sm. Dumort.",100,5,97.8,97.6
"Lolium arundinaceum (Schreb. Darbysh subsp. arundinaceum",100,10,98.7,24.1
"Lolium multiflorum Lam.",100,10,98.7,63.8
"Lolium perenne L.",100,10,98.7,42.9
"Lonicera caprifolium L.",100,8,96.7,30.5
"Lonicera japonica Thunb.",100,10,98,36.7
"Lotus angustissimus L.",100,10,98.5,66.7
"Lotus corniculatus L. subsp. corniculatus",100,10,98.7,54
"Lotus hirsutus L.",100,10,97.8,44.4
"Lotus maritimus L.",100,10,71.2,30
"Lotus pedunculatus Cav.",100,8,98,20.6
"Lotus rectus L.",100,5,98.7,29.3
"Lotus tenuis Waldst. & Kit. ex Willd.",100,10,96.7,31.3
"Lupinus angustifolius L.",100,10,95.8,31.2
"Luzula campestris (L. DC. subsp. campestris",100,10,97.8,39.9
"Luzula forsteri (Sm. DC.",100,10,97.8,91.3
"Lychnis flos-cuculi L. subsp. flos-cuculi",100,10,99.6,91.1
"Lycopus europaeus L.",100,10,98.7,95.8
"Lysimachia arvensis (L. U.Manns & Anderb. subsp. arvensis",100,10,98.7,71.6
"Lysimachia nummularia L.",100,10,96.7,63.9
"Lysimachia tenella L.",100,10,98,32.3
"Lysimachia vulgaris L.",100,10,97.8,84.1
"Lythrum hyssopifolia L.",100,10,98.5,32.4
"Lythrum salicaria L.",100,10,98.7,97.8
"Macrobriza maxima (L. Tzvelev",100,10,98.5,31.3
"Malva sylvestris L.",100,10,98.7,49.3
"Marcus-kochia ramosissima (Desf. Al-Shehbaz",100,10,97.8,40.8
"Marsilea quadrifolia L.",100,9,96.7,19.4
"Matricaria chamomilla L.",100,2,98.7,98.5
"Medicago arabica (L. Huds.",100,10,96.7,35.3
"Medicago littoralis Rohde ex Loisel.",100,10,73.6,35.9
"Medicago lupulina L.",100,10,98.5,31.8
"Medicago marina L.",100,10,75.7,35.4
"Medicago minima (L. L.",100,10,97.8,39.9
"Medicago polymorpha L.",100,5,98.5,31.3
"Medicago sativa L.",100,10,98.7,31.3
"Melissa officinalis L. subsp. officinalis",100,5,98.7,43.2
"Mentha aquatica L. subsp. aquatica",100,10,98.7,95.8
"Moehringia trinervia (L. Clairv.",100,10,98.5,91.3
"Myosotis ramosissima Rochel subsp. ramosissima",100,9,98.5,24.9
"Myosotis scorpioides L. subsp. scorpioides",100,9,98.5,21.6
"Myosotis sylvatica Hoffm. subsp. sylvatica",100,10,96.7,43.1
"Myriophyllum aquaticum (Vell. Verdc.",100,10,98.7,63.3
"Myriophyllum spicatum L.",100,10,97.2,23
"Myrtus communis L.",100,10,96.7,41
"Nassella trichotoma (Nees Hack.",100,6,97.6,37.6
"Oenanthe aquatica (L. Poir.",100,10,99.3,30
"Oenanthe lachenalii C.C.Gmel.",100,10,97.4,30
"Oenanthe pimpinelloides L.",100,10,98.5,30
"Oenanthe silaifolia M.Bieb.",100,10,97.8,72.8
"Oenothera indecora Cambess.",100,3,97.8,97.8
"Oloptum thomasii (Duby Banfi & Galasso",100,7,98.7,39.7
"Ornithopus compressus L.",100,10,97.8,95.8
"Ornithopus pinnatus (Mill. Druce",100,4,97.8,34.3
"Orobanche minor Sm.",100,6,98.5,21
"Osmunda regalis L.",100,10,98,84.9
"Oxalis articulata Savigny",100,10,98.9,44.6
"Oxalis corniculata L.",100,10,98.2,95.8
"Oxalis dillenii Jacq.",100,5,97.6,22.4
"Pancratium maritimum L.",100,10,96.5,36.7
"Papaver rhoeas L. subsp. rhoeas",100,10,98.7,63.8
"Paronychia echinulata Chater",100,5,97.8,95.8
"Paspalum dilatatum Poir.",100,10,98.7,70.9
"Paspalum distichum L.",100,10,97.8,69.3
"Periploca graeca L.",100,10,98.7,97.4
"Persicaria hydropiper (L. Delarbre",100,4,97.6,44.4
"Persicaria lapathifolia (L. Delarbre subsp. lapathifolia",100,10,98.5,41.5
"Petrorhagia dubia (Raf. G.López & Romo",100,4,98.2,31.3
"Petrorhagia prolifera (L. P.W.Ball & Heywood",100,8,98.7,29.3
"Phalaris coerulescens Desf.",100,10,98.7,34.8
"Phalaroides arundinacea (L. Rauschert subsp. arundinacea",100,10,97.4,31.4
"Phillyrea angustifolia L.",100,10,98.5,71.8
"Phleum arenarium L. subsp. caesium H.Scholz",100,10,75.5,44.4
"Phragmites australis (Cav. Trin. ex Steud. subsp. australis",100,10,98.9,97.8
"Phyla nodiflora (L. Greene",100,10,97.4,38
"Phytolacca americana L.",100,10,98.7,74.8
"Picris hieracioides L. subsp. hieracioides",100,10,98.7,44.7
"Pinus pinaster Aiton",100,10,95.8,59.7
"Pinus pinea L.",100,10,98.2,97.6
"Pistacia lentiscus L.",100,10,82.1,37.1
"Plantago bellardii All. subsp. bellardii",100,10,97.8,31.9
"Plantago coronopus L.",100,10,98.7,61.5
"Plantago lanceolata L.",100,10,98.7,68.9
"Plantago major L.",100,10,98.7,95.8
"Poa annua L.",100,10,98.5,68.9
"Poa bulbosa L. subsp. bulbosa",100,10,97.8,30
"Poa sylvicola Guss.",100,4,98,41.3
"Poa trivialis L.",100,10,98.7,91.1
"Polycarpon tetraphyllum (L. L. subsp. tetraphyllum",100,10,98.5,29.3
"Polygonatum odoratum (Mill. Druce",100,8,91.3,31.8
"Polygonum aviculare L. subsp. aviculare",100,7,98.7,20.6
"Polygonum maritimum L.",100,10,68.2,54
"Polypodium cambricum L.",100,8,96.7,30
"Polypodium vulgare L.",100,3,97.8,97.6
"Polypogon maritimus Willd. subsp. maritimus",100,10,85.7,30
"Polypogon monspeliensis (L. Desf.",100,10,98.7,68.6
"Populus alba L.",100,10,98.7,95.8
"Populus canescens (Aiton Sm.",100,8,98.5,30.6
"Populus nigra L. subsp. nigra",100,10,97.8,74.8
"Potamogeton crispus L.",100,9,98.7,20.6
"Potentilla erecta (L. Raeusch.",100,9,98,19.4
"Potentilla reptans L.",100,10,98.7,96.7
"Prospero autumnale (L. Speta",100,9,98.7,31.9
"Prunella vulgaris L. subsp. vulgaris",100,10,98.5,91.3
"Prunus spinosa L. subsp. spinosa",100,10,98.5,91.7
"Pteridium aquilinum (L. Kuhn subsp. aquilinum",100,10,97.6,91.3
"Puccinellia festuciformis (Host Parl. subsp. festuciformis",100,8,70.9,31.3
"Pulicaria dysenterica (L. Bernh.",100,10,98.7,73.8
"Quercus cerris L.",100,7,97.8,31.9
"Quercus ilex L. subsp. ilex",100,10,98.5,97.6
"Quercus pubescens Willd. subsp. pubescens",100,9,98.5,39.9
"Quercus robur L. subsp. robur",100,10,98.5,95.8
"Quercus suber L.",100,7,98.5,26.6
"Ranunculus flammula L.",100,10,97.6,39.9
"Ranunculus parviflorus L.",100,10,96.7,35.8
"Ranunculus repens L.",100,10,98,89.5
"Ranunculus sardous Crantz",100,10,98.7,95.8
"Ranunculus sceleratus L.",100,10,98.7,25.1
"Ranunculus trichophyllus Chaix",100,8,97.4,20.6
